cnpj_basico;cnpj;bairro;nome_fantasia;id_municipio;cep;cidade;sigla_uf;centroide;bairro
17256512;1,72565E+13;CIDADE JARDIM;;3106200;30380002;Belo Horizonte;MG;POINT(-43.9485633 -19.9431712);Cidade Jardim
17256512;1,72565E+13;CENTRO;;3118007;36415000;Congonhas;MG;POINT(-43.8613566 -20.4993469);Centro
17256512;1,72565E+13;CENTRO;;3136702;36010003;Juiz de Fora;MG;POINT(-43.3484082 -21.7610967);Centro
17256512;1,72565E+13;CENTRO;;3168705;35180014;Timóteo;MG;POINT(-42.6474633 -19.5386438);Centro
17256512;1,72565E+13;CENTRO;;3106200;30160040;Belo Horizonte;MG;POINT(-43.9393124 -19.9215778);Centro
17256512;1,72565E+13;CENTRO;;3122306;35500008;Divinópolis;MG;POINT(-44.9108701 -20.1405522);Centro
17256512;1,72565E+13;CENTRO;;3148004;38700046;Patos de Minas;MG;POINT(-46.5121593 -18.5884823);Centro
17256512;1,72565E+13;DONA CLARA;;3106200;31260000;Belo Horizonte;MG;POINT(-43.9414565 -19.8616974);Dona Clara
17256512;1,72565E+13;CENTRO;;3156700;34505360;Sabará;MG;POINT(-43.8137443 -19.8936633);Centro
17256512;1,72565E+13;GUARANI;;3106200;31814620;Belo Horizonte;MG;POINT(-43.9258676 -19.8442387);Guarani
17256512;1,72565E+13;LOURDES;;3106200;30170122;Belo Horizonte;MG;POINT(-43.9442436 -19.9295751);Lourdes
17256512;1,72565E+13;FUNCIONARIOS;;3106200;30110035;Belo Horizonte;MG;POINT(-43.9251869 -19.9354311);Funcionarios
17256512;1,72565E+13;CENTRO;;3106200;30180110;Belo Horizonte;MG;POINT(-43.9447513 -19.9215436);Centro
17256512;1,72565E+13;FUNCIONARIOS;;3106200;30112020;Belo Horizonte;MG;POINT(-43.9298894 -19.9350862);Funcionarios
17256512;1,72565E+13;FUNCIONARIOS;;3106200;30130007;Belo Horizonte;MG;POINT(-43.9328724 -19.928182);Funcionarios
17256512;1,72565E+13;CENTRO;;3106200;30170120;Belo Horizonte;MG;POINT(-43.9419866 -19.9213597);Centro
17256512;1,72565E+13;FUNCIONARIOS;;3106200;30130140;Belo Horizonte;MG;POINT(-43.9313937 -19.928094);Funcionarios
17256512;1,72565E+13;GIOVANINI;;3119401;35170096;Coronel Fabriciano;MG;POINT(-42.6290582 -19.5154212);#N/D
17256512;1,72565E+13;GLORIA;;3106200;30870100;Belo Horizonte;MG;POINT(-44.0061949 -19.9041923);GLORIA
17256512;1,72565E+13;GRAJAU;;3106200;30431191;Belo Horizonte;MG;POINT(-43.9662886 -19.9410523);GRAJAU
17256512;1,72565E+13;SION;;3106200;30315000;Belo Horizonte;MG;POINT(-43.9244003 -19.95282);Sion
17256512;1,72565E+13;CARMO;;3106200;30330000;Belo Horizonte;MG;POINT(-43.9370934 -19.9504377);Carmo
17256512;1,72565E+13;CENTRO;;3143906;36880049;Muriaé;MG;POINT(-42.3617155 -21.1322822);Centro
17256512;1,72565E+13;HELIOPOLIS;;3106200;31741440;Belo Horizonte;MG;POINT(-43.9289987 -19.8451631);HELIOPOLIS
17256512;1,72565E+13;IBIAPABA;;3105608;36200032;Barbacena;MG;POINT(-43.7770316 -21.2214178);#N/D
17256512;1,72565E+13;LOURDES;;3106200;30130188;Belo Horizonte;MG;POINT(-43.9371357 -19.9286218);Lourdes
17256512;1,72565E+13;BELVEDERE;;3106200;30320570;Belo Horizonte;MG;POINT(-43.9415064 -19.9745748);Belvedere
17256512;1,72565E+13;CIDADE NOVA;;3106200;31170330;Belo Horizonte;MG;POINT(-43.9270594 -19.8887194);Cidade Nova
17256512;1,72565E+13;CENTRO;;3101607;37130029;Alfenas;MG;POINT(-45.9478966 -21.4245747);Centro
17256512;1,72565E+13;CENTRO;;3157807;33010500;Santa Luzia;MG;POINT(-43.8492066 -19.7649898);Centro
17256512;1,72565E+13;BURITIS;;3106200;30575180;Belo Horizonte;MG;POINT(-43.9658616 -19.9713748);Buritis
17256512;1,72565E+13;LOURDES;;3106200;30110048;Belo Horizonte;MG;POINT(-43.947164 -19.9352475);Lourdes
17256512;1,72565E+13;IGUACU;;3131307;35162036;Ipatinga;MG;POINT(-42.55017 -19.4741564);#N/D
17256512;1,72565E+13;SANTO AGOSTINHO;;3106200;30190120;Belo Horizonte;MG;POINT(-43.9526172 -19.931375);Santo Agostinho
17256512;1,72565E+13;CENTRO;;3104205;35588000;Arcos;MG;POINT(-45.5399855 -20.2878706);Centro
17256512;1,72565E+13;INCONFIDENTES;;3118601;32260220;Contagem;MG;POINT(-44.0377935 -19.9557023);#N/D
17256512;1,72565E+13;INDAIA;;3106200;31270065;Belo Horizonte;MG;POINT(-43.9501461 -19.8629393);Indaia
17256512;1,72565E+13;CENTRO;;3106200;30120070;Belo Horizonte;MG;POINT(-43.9396761 -19.9174941);Centro
17256512;1,72565E+13;INDUSTRIAL;;3118601;32230090;Contagem;MG;POINT(-44.0326462 -19.970605);#N/D
17256512;1,72565E+13;CENTRO;;3145604;35540000;Oliveira;MG;POINT(-44.8256777 -20.6984299);Centro
17256512;1,72565E+13;CENTRO;;3144805;34000273;Nova Lima;MG;POINT(-43.8463307 -19.9878558);Centro
17256512;1,72565E+13;BURITIS;;3106200;30455640;Belo Horizonte;MG;POINT(-43.9600272 -19.9690125);Buritis
17256512;1,72565E+13;ANCHIETA;;3106200;30310530;Belo Horizonte;MG;POINT(-43.9292944 -19.9482489);Anchieta
17256512;1,72565E+13;INDUSTRIAL;;3118601;32223000;Contagem;MG;POINT(-44.0293333 -19.9645272);#N/D
17256512;1,72565E+13;INDUSTRIAL;DROGARIA ARAJO S/A;3118601;32230020;Contagem;MG;POINT(-44.0373803 -19.9701249);#N/D
17256512;1,72565E+13;VENDA NOVA;;3106200;31610000;Belo Horizonte;MG;POINT(-43.970272 -19.8075877);Venda Nova
17256512;1,72565E+13;SANTA TEREZINHA;;3136702;36046040;Juiz de Fora;MG;POINT(-43.356696 -21.7311256);Santa Terezinha
17256512;1,72565E+13;INDUSTRIAL SAO LUIZ;;3118601;32073740;Contagem;MG;POINT(-44.1222608 -19.9363381);#N/D
17256512;1,72565E+13;GUTIERREZ;;3106200;30441014;Belo Horizonte;MG;POINT(-43.9575239 -19.9327286);Gutierrez
17256512;1,72565E+13;IPE;;3144805;34000001;Nova Lima;MG;POINT(-43.8582364 -19.981906);Ipe
17256512;1,72565E+13;ITAPOA;DROGARIA ARAUJO S/A;3106200;31710000;Belo Horizonte;MG;POINT(-43.9649424 -19.8360757);Itapoa
17256512;1,72565E+13;ITAPOA;;3106200;31710400;Belo Horizonte;MG;POINT(-43.965381 -19.842186);Itapoa
17256512;1,72565E+13;CENTRO;;3106200;30170110;Belo Horizonte;MG;POINT(-43.9461225 -19.921381);Centro
17256512;1,72565E+13;CENTRO;;3122306;35500003;Divinópolis;MG;POINT(-44.8869992 -20.1430325);Centro
17256512;1,72565E+13;CENTRO;;3167202;35700640;Sete Lagoas;MG;POINT(-44.2439279 -19.4547409);Centro
17256512;1,72565E+13;GUTIERREZ;;3106200;30110059;Belo Horizonte;MG;POINT(-43.955164 -19.9320288);Gutierrez
17256512;1,72565E+13;JARDIM AMERICA;;3106200;30550176;Belo Horizonte;MG;POINT(-43.9776801 -19.9424785);Jardim America
17256512;1,72565E+13;JARDIM ATLANTICO;;3106200;31560000;Belo Horizonte;MG;POINT(-43.9709492 -19.8432679);Jardim AtlAntico
17256512;1,72565E+13;JARDIM CANADA;;3144805;34000001;Nova Lima;MG;POINT(-43.8582364 -19.981906);#N/D
17256512;1,72565E+13;CARMO;;3106200;30310010;Belo Horizonte;MG;POINT(-43.9328568 -19.943377);Carmo
17256512;1,72565E+13;SERRA;;3106200;30220060;Belo Horizonte;MG;POINT(-43.921968 -19.942237);Serra
17256512;1,72565E+13;JARDIM DAS ALTEROSAS 1A SECAO;;3106705;32670708;Betim;MG;POINT(-44.1551458 -19.9510409);#N/D
17256512;1,72565E+13;CENTRO;;3167202;35700040;Sete Lagoas;MG;POINT(-44.2483835 -19.4648037);Centro
17256512;1,72565E+13;JARDIM DOS ESTADOS;;3151800;37701102;Poços de Caldas;MG;POINT(-46.5492392 -21.7855386);#N/D
17256512;1,72565E+13;JARDIM RIACHO DAS PEDRAS;;3118601;32241250;Contagem;MG;POINT(-44.0587105 -19.9649094);#N/D
17256512;1,72565E+13;JARDIM RIACHO DAS PEDRAS;;3118601;32241395;Contagem;MG;POINT(-44.0605636 -19.9686542);#N/D
17256512;1,72565E+13;CENTRO;;3138203;37200000;Lavras;MG;POINT(-45.0373171 -21.2659139);Centro
17256512;1,72565E+13;CENTRO;;3163706;37470000;São Lourenço;MG;POINT(-45.027985 -22.1123693);Centro
17256512;1,72565E+13;JOAO PINHEIRO;;3106200;30530000;Belo Horizonte;MG;POINT(-43.9994201 -19.925555);Joao Pinheiro
17256512;1,72565E+13;PRADO;;3106200;30410440;Belo Horizonte;MG;POINT(-43.9604654 -19.9217606);Prado
17256512;1,72565E+13;CENTRO;;3106200;30190001;Belo Horizonte;MG;POINT(-43.9425565 -19.9233115);Centro
17256512;1,72565E+13;LARGO DOM JOAO;;3121605;39100000;Diamantina;MG;POINT(-43.6035055 -18.2417866);#N/D
17256512;1,72565E+13;MANOEL HONORIO;;3136702;36051000;Juiz de Fora;MG;POINT(-43.3492557 -21.7418518);#N/D
17256512;1,72565E+13;MILIONARIOS (BARREIRO);;3106200;30620000;Belo Horizonte;MG;POINT(-44.0064873 -19.9815911);Milionarios (Barreiro)
17256512;1,72565E+13;NOVA GRANADA;;3106200;30431262;Belo Horizonte;MG;POINT(-43.9682181 -19.9386926);Nova Granada
17256512;1,72565E+13;PADRE EUSTAQUIO;;3106200;30720230;Belo Horizonte;MG;POINT(-43.9760929 -19.923238);Padre Eustaquio
17256512;1,72565E+13;PRADO;;3106200;30411213;Belo Horizonte;MG;POINT(-43.9648954 -19.9287511);Prado
17256512;1,72565E+13;CENTRO;;3106200;30130110;Belo Horizonte;MG;POINT(-43.9318136 -19.9244423);Centro
17256512;1,72565E+13;CASTELO;;3106200;31330290;Belo Horizonte;MG;POINT(-43.9963224 -19.8778849);Castelo
17256512;1,72565E+13;OURO PRETO;;3106200;31310240;Belo Horizonte;MG;POINT(-43.9791652 -19.8718669);Ouro Preto
17256512;1,72565E+13;PADRE EUSTAQUIO;;3106200;30720100;Belo Horizonte;MG;POINT(-43.9738561 -19.9150785);Padre Eustaquio
17256512;1,72565E+13;SERRA;;3106200;30220000;Belo Horizonte;MG;POINT(-43.9200199 -19.9399719);Serra
17256512;1,72565E+13;CENTRO;;3106200;30120080;Belo Horizonte;MG;POINT(-43.939253 -19.9163364);Centro
17256512;1,72565E+13;CENTRO;;3106200;30180006;Belo Horizonte;MG;POINT(-43.9421059 -19.9211315);Centro
17256512;1,72565E+13;CENTRO;;3169901;36500066;Ubá;MG;POINT(-42.9422838 -21.120408);Centro
17256512;1,72565E+13;BURITIS;;3106200;30575180;Belo Horizonte;MG;POINT(-43.9658616 -19.9713748);Buritis
17256512;1,72565E+13;PADRE EUSTAQUIO;;3106200;30730440;Belo Horizonte;MG;POINT(-43.9867727 -19.9144584);Padre Eustaquio
17256512;1,72565E+13;CENTRO;;3118601;32041390;Contagem;MG;POINT(-44.0823918 -19.9107184);Centro
17256512;1,72565E+13;SAVASSI;;3106200;30130174;Belo Horizonte;MG;POINT(-43.9373444 -19.9345781);Savassi
17256512;1,72565E+13;PADRE EUSTAQUIO;;3106200;30720100;Belo Horizonte;MG;POINT(-43.9738561 -19.9150785);Padre Eustaquio
17256512;1,72565E+13;PADRE EUSTAQUIO;;3106200;30535540;Belo Horizonte;MG;POINT(-43.9868932 -19.9205413);Padre Eustaquio
17256512;1,72565E+13;SANTO AGOSTINHO;;3106200;30140063;Belo Horizonte;MG;POINT(-43.9477071 -19.924734);Santo Agostinho
17256512;1,72565E+13;PALMARES;;3106200;31160440;Belo Horizonte;MG;POINT(-43.9347725 -19.8787432);Palmares
17256512;1,72565E+13;PALMEIRAS;;3106200;30575460;Belo Horizonte;MG;POINT(-43.9799468 -19.9704525);Palmeiras
17256512;1,72565E+13;PAQUETA;;3106200;31330472;Belo Horizonte;MG;POINT(-43.9939959 -19.8858443);Paqueta
17256512;1,72565E+13;PARQUE DUVAL DE BARROS (PARQUE DURVAL DE;;3129806;32420215;Ibirité;MG;POINT(-44.0624363 -19.9766408);#N/D
17256512;1,72565E+13;SANTA TEREZA;;3106200;31010220;Belo Horizonte;MG;POINT(-43.9174991 -19.9164959);Santa Tereza
17256512;1,72565E+13;PARQUE SAO PEDRO;;3106200;31615250;Belo Horizonte;MG;POINT(-43.9653371 -19.8102821);Parque Sao Pedro
17256512;1,72565E+13;PEDRA AZUL;;3118601;32183180;Contagem;MG;POINT(-44.0356457 -19.8571507);#N/D
17256512;1,72565E+13;PEDRA BRANCA;;3110004;34800000;Caeté;MG;POINT(-43.6709895 -19.8860951);#N/D
17256512;1,72565E+13;CENTRO;;3147105;35660630;Pará de Minas;MG;POINT(-44.6046537 -19.8647886);Centro
17256512;1,72565E+13;PETROLANDIA;;3118601;32072170;Contagem;MG;POINT(-44.1178479 -19.929387);#N/D
17256512;1,72565E+13;POMPEIA;;3106200;30280020;Belo Horizonte;MG;POINT(-43.9085857 -19.9115613);Pompeia
17256512;1,72565E+13;CENTRO;;3106200;30170120;Belo Horizonte;MG;POINT(-43.9419866 -19.9213597);Centro
17256512;1,72565E+13;PLANALTO;;3106200;31720300;Belo Horizonte;MG;POINT(-43.9536407 -19.8306832);Planalto
17256512;1,72565E+13;CENTRO;;3169406;37190000;Três Pontas;MG;POINT(-45.5113389 -21.3697623);Centro
17256512;1,72565E+13;CENTRO;;3106705;32600125;Betim;MG;POINT(-44.1978598 -19.9687345);Centro
17256512;1,72565E+13;CENTRO;;3167202;35700029;Sete Lagoas;MG;POINT(-44.2449449 -19.4649235);Centro
17256512;1,72565E+13;LOURDES;;3106200;30180111;Belo Horizonte;MG;POINT(-43.9455892 -19.9246101);Lourdes
17256512;1,72565E+13;SERRANO;;3106200;30881535;Belo Horizonte;MG;POINT(-44.0138612 -19.8886198);Serrano
17256512;1,72565E+13;ANCHIETA;;3106200;30310360;Belo Horizonte;MG;POINT(-43.9264113 -19.9461423);Anchieta
17256512;1,72565E+13;POMPEIA;;3106200;30285010;Belo Horizonte;MG;POINT(-43.9009828 -19.9128258);Pompeia
